"","MLSP 49"
"cell division",5.96618891650966e-17
"positive regulation of canonical NF-kappaB signal transduction",1.92262154875717e-12
"defense response to virus",1.05115209556209e-10
"DNA repair",4.36374060008931e-10
"innate immune response",6.22313818592945e-08
"DNA damage response",6.22313818592945e-08
"cellular response to lipopolysaccharide",0.000218611816905121
"apoptotic process",0.000536324012641274
"regulation of apoptotic process",0.000649496742727943
"positive regulation of apoptotic process",0.0162741262404165
"positive regulation of DNA-templated transcription",0.0398631317599775
"protein phosphorylation",0.0402899122411449
