"Iteration","Removed_Species","Success","Error_Message"
1,"Ailuropoda_melanoleuca",TRUE,"Success"
2,"Bos_taurus",TRUE,"Success"
3,"Callithrix_jacchus",TRUE,"Success"
4,"Canis_familiaris",TRUE,"Success"
5,"Capra_hircus",TRUE,"Success"
6,"Cavia_porcellus",TRUE,"Success"
7,"Cebus_capucinus_imitator",TRUE,"Success"
8,"Chinchilla_lanigera",TRUE,"Success"
9,"Colobus_angolensis_palliatus",TRUE,"Success"
10,"Dasypus_novemcinctus",TRUE,"Success"
11,"Equus_asinus_asinus",TRUE,"Success"
12,"Equus_caballus",TRUE,"Success"
13,"Felis_catus",TRUE,"Success"
14,"Gorilla_gorilla",TRUE,"Success"
15,"Heterocephalus_glaber",TRUE,"Success"
16,"Homo_sapiens",TRUE,"Success"
17,"Ictidomys_tridecemlineatus",TRUE,"Success"
18,"Loxodonta_africana",TRUE,"Success"
19,"Macaca_fascicularis",TRUE,"Success"
20,"Macaca_mulatta",TRUE,"Success"
21,"Macaca_nemestrina",TRUE,"Success"
22,"Meriones_unguiculatus",TRUE,"Success"
23,"Microcebus_murinus",TRUE,"Success"
24,"Microtus_ochrogaster",TRUE,"Success"
25,"Monodelphis_domestica",TRUE,"Success"
26,"Mus_musculus",TRUE,"Success"
27,"Mustela_putorius_furo",TRUE,"Success"
28,"Myotis_lucifugus",TRUE,"Success"
29,"Neovison_vison",TRUE,"Success"
30,"Nomascus_leucogenys",TRUE,"Success"
31,"Octodon_degus",TRUE,"Success"
32,"Oryctolagus_cuniculus",TRUE,"Success"
33,"Otolemur_garnettii",TRUE,"Success"
34,"Ovis_aries",TRUE,"Success"
35,"Pan_paniscus",TRUE,"Success"
36,"Pan_troglodytes",TRUE,"Success"
37,"Panthera_pardus",TRUE,"Success"
38,"Papio_anubis",TRUE,"Success"
39,"Peromyscus_maniculatus_bairdii",TRUE,"Success"
40,"Phascolarctos_cinereus",TRUE,"Success"
41,"Rattus_norvegicus",TRUE,"Success"
42,"Saimiri_boliviensis_boliviensis",TRUE,"Success"
43,"Sus_scrofa",TRUE,"Success"
44,"Tursiops_truncatus",TRUE,"Success"
45,"Vombatus_ursinus",TRUE,"Success"
46,"Vulpes_vulpes",TRUE,"Success"
